# ORT reference, 276 tensors matching 'nonlin_attention'
# tokens=[[28, 120, 18, 74, 26, 32]] prompt=[[120, 54, 122, 24, 3, 24]] frames=57 speed=1.0
# op                 shape                       min          max         mean  name
  MatMulInteger      [13, 1, 432]             -71268        61655     -132.545  /text_encoder/0/layers.2/nonlin_attention/in_proj/MatMul_output_0_output_quantized
  Cast               [13, 1, 432]             -71268        61655     -132.545  /text_encoder/0/layers.2/nonlin_attention/in_proj/MatMul_output_0_output_quantized_cast_output
  Mul                [13, 1, 432]           -17.1686      14.8528   -0.0319302  /text_encoder/0/layers.2/nonlin_attention/in_proj/MatMul_output_0
  Add                [13, 1, 432]            -17.521      15.0448   -0.0403988  /text_encoder/0/layers.2/nonlin_attention/in_proj/Add_output_0
  Shape              [3]                           1          432      148.667  /text_encoder/0/layers.2/nonlin_attention/Shape_output_0
  Shape              [3]                           1          432      148.667  /text_encoder/0/layers.2/nonlin_attention/Shape_1_output_0
  Shape              [3]                           1          432      148.667  /text_encoder/0/layers.2/nonlin_attention/Shape_2_output_0
  Gather             []                           13           13           13  /text_encoder/0/layers.2/nonlin_attention/Gather_output_0
  Gather             []                            1            1            1  /text_encoder/0/layers.2/nonlin_attention/Gather_1_output_0
  Gather             [1]                         432          432          432  /text_encoder/0/layers.2/nonlin_attention/Gather_2_output_0
  Unsqueeze          [1]                          13           13           13  /text_encoder/0/layers.2/nonlin_attention/Unsqueeze_1_output_0
  Unsqueeze          [1]                           1            1            1  /text_encoder/0/layers.2/nonlin_attention/Unsqueeze_2_output_0
  Add                [1]                         434          434          434  /text_encoder/0/layers.2/nonlin_attention/Add_output_0
  Concat             [3]                           1          144      52.6667  /text_encoder/0/layers.2/nonlin_attention/Concat_output_0
  Div                [1]                         144          144          144  /text_encoder/0/layers.2/nonlin_attention/Div_output_0
  Mul                [1]                         144          144          144  /text_encoder/0/layers.2/nonlin_attention/Mul_output_0
  Mul                [1]                         288          288          288  /text_encoder/0/layers.2/nonlin_attention/Mul_1_output_0
  Mul                [1]                         432          432          432  /text_encoder/0/layers.2/nonlin_attention/Mul_2_output_0
  Shape              [4]                           1           13            7  /text_encoder/0/layers.2/nonlin_attention/Shape_5_output_0
  Slice              [13, 1, 144]           -10.9185      11.1869    -0.108918  /text_encoder/0/layers.2/nonlin_attention/Slice_output_0
  Slice              [13, 1, 144]           -13.2192      13.5974     0.118484  /text_encoder/0/layers.2/nonlin_attention/Slice_1_output_0
  Slice              [13, 1, 144]            -17.521      15.0448    -0.130762  /text_encoder/0/layers.2/nonlin_attention/Slice_2_output_0
  Gather             []                            1            1            1  /text_encoder/0/layers.2/nonlin_attention/Gather_5_output_0
  Tanh               [13, 1, 144]                 -1            1   -0.0461602  /text_encoder/0/layers.2/nonlin_attention/tanh/Tanh_output_0
  Unsqueeze          [1]                           1            1            1  /text_encoder/0/layers.2/nonlin_attention/Unsqueeze_5_output_0
  Unsqueeze          [13, 1, 144, 1]              -1            1   -0.0461602  /text_encoder/0/layers.2/nonlin_attention/Unsqueeze_output_0
  Reshape            [13, 1, 144]                 -1            1   -0.0461602  /text_encoder/0/layers.2/nonlin_attention/Reshape_output_0
  Mul                [13, 1, 144]           -12.4189      13.5939    0.0194265  /text_encoder/0/layers.2/nonlin_attention/Mul_3_output_0
  Shape              [3]                           1          144      52.6667  /text_encoder/0/layers.2/nonlin_attention/Shape_3_output_0
  Shape              [3]                           1          144      52.6667  /text_encoder/0/layers.2/nonlin_attention/Shape_4_output_0
  Gather             []                           13           13           13  /text_encoder/0/layers.2/nonlin_attention/Gather_3_output_0
  Gather             []                            1            1            1  /text_encoder/0/layers.2/nonlin_attention/Gather_4_output_0
  Unsqueeze          [1]                          13           13           13  /text_encoder/0/layers.2/nonlin_attention/Unsqueeze_3_output_0
  Unsqueeze          [1]                          13           13           13  /text_encoder/0/layers.2/nonlin_attention/Unsqueeze_6_output_0
  Unsqueeze          [1]                           1            1            1  /text_encoder/0/layers.2/nonlin_attention/Unsqueeze_4_output_0
  Unsqueeze          [1]                           1            1            1  /text_encoder/0/layers.2/nonlin_attention/Unsqueeze_7_output_0
  Concat             [4]                          -1           13          3.5  /text_encoder/0/layers.2/nonlin_attention/Concat_1_output_0
  Concat             [3]                          -1           13      4.33333  /text_encoder/0/layers.2/nonlin_attention/Concat_2_output_0
